CODE;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;HUNGARIAN;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;;x;;;;;;;;;;;;;;;;
AT_WAR_TENSION_DECAY;$COUNTRY$ 전시 상황: 쬨$VAL$쬦;$COUNTRY$ is at war: 쬨$VAL$쬦;$COUNTRY$ befindet sich im Krieg: 쬨$VAL$쬦;;;;;;;;;;x;;;;;;;;;;;;;;;;
BRIGADES_COMPARE_GREATER;두 국가의 여단 수 차이 > 쬨$VAL$쬦\n;Brigades comparison factor of two countries is at least 쬨$VAL$쬦;;;;;;;;;x;;;;;;;;;;;;;;;;;;;
BRIGADES_COMPARE_SMALLER;두 국가의 여단 수 차이 < 쬨$VAL$쬦\n;Brigades comparison factor of two countries is less than 쬨$VAL$쬦;;;;;;;;;x;;;;;;;;;;;;;;;;;;;
CB_TOWARDS_US_DETECTED_3;쬨$CASUS$쬦 전쟁명분;쬨$CASUS$쬦 Casus Belli;Casus Belli 쬨$CASUS$쬦mithilfe des 쬨$CASUS$쬦 Casus Belli;;;;;;;;;;;x;;;;;;;;;;;;;;;;
BUY_FROM_STOCKPILE_DESC;주민/공장의 비축품 구매 허용\n\n쬨경고: 구매 및 판매를 수동화한 경우에는 쬟절대쬦 해당 단추를 사용하지 마세요. 쬟오직쬦 쬟모든쬦 상품에 대해 자동무역을 쬟켠쬦 상태에서만 사용해야 합니다. 그렇게 하지 않으면 국내와 전세계적인 경제 붕괴가 일어날 것입니다. 위험을 감수하고 사용하세요.쬦;Allow pops/factories to buy from country stockpile;Autoriser les POP/usines 쬦puiser dans les r쬦erves du pays.;BEVs/Fabriken K쬦fe aus Nationalvorrat gestatten.;;Permitir que las poblaciones o f쬦ricas compren de las reservas nacionales;;;;;;;;;x;;;;;;;;;;;;;;;;
Battles;전투;Battles;Batailles;Schlachten;;Batallas;;;;;;;;;x;;;;;;;;;;;;;;;;
Bourgeois_Coup_d'쬦at!_desc;상류층들이 정변을 일으킨 후 (무늬뿐인) 선거에서 당선됐습니다. 우리나라는 이제 부자들의 지배를 받습니다. 하느님이 프롤레타리아들에게 자비를 베푸시길.; The Upper Crust of the nation have won the elections, and not only have they been elected, there was a Coup D'etat in the leadership of the nation. Your nation is now again run by the rich, may the divine have mercy on the Proletariat in the coming years.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;
Bourgeois_Coup_d'쬦at!_title;부르주아 정변;A Bourgeous Coup D'etat;;;;;;;;;;;;x,;
Bull_market;상승 장세;Bull Market;;;;;;;;;;;;x,;
Bull_market_desc;경제가 호황입니다. 공장은 생산을 늘리고 있으며 국민들은 사치품을 선뜻 구매하고 있습니다.;We are experiencing an economic boom, with factories enjoying greater production and the people readily buying what luxuries they can while times are good.;;;;;;;;;;;;x;
Bureaucracy;관료제;Bureaucracy;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;;
Bureaucracy_desc;관료제의 목적은 어떤 규모의 조직(종종 정부, 기업, 비정부기구 같은 큰 조직과 관련됨)이 그 목적과 사명을 성공적으로 이행하기 위해 사용하는 것으로, 그 목적과 사명을 어떻게 달성할 수 있는지를 결정합니다. 이들은 가능한 한 효율성 및 최소 비용을 시험합니다.;The purpose of a bureaucracy is to successfully implement the actions of an organization of any size (but often associated with large entities such as government, corporations, and non-governmental organizations), in achieving its purpose and mission, and the bureaucracy is tasked to determine how it can achieve its purpose and mission with the greatest possible efficiency and at the least cost of any resources.;;;;;;;;;;;;x,,,;;;;;;;;;;;;;;;;;
CALCULATED_WARSCORE;전쟁점수: $VAL$;Peaceoffer value: $VAL$;Valeur de l'offre de paix : $VAL$;Wert des Friedensangebots: $VAL$;;Valor de la oferta de paz: $VAL$;;;;;;;;;x;;;;;;;;;;;;;;;;
CALC_PATHS;Calculating paths...\nThis may take several minutes.;Calcul des chemins...\nCela peut prendre plusieurs minutes.;Pfade werden berechnet ...\nDies kann einige Minuten dauern.;Obliczanie 쐁ie풽k...\nTo mo풽 potrwa쬦kilka minut.;Calculando rutas...\nEsto puede llevar varios minutos.;Calcolo percorsi in corso... \nQuesta operazione potrebbe richiedere qualche minuto.;쬦vonalak kisz쬦쬦쬦a쬦n Ez n쬦쬦y percet is ig쬦ybe vehet쬦V쬦o쬦t cest...\nTo m쬦e trvat n쬦olik minut.;;;;;;x;;;;;;;;;;;;;;;;
CALLALLYTITLE;참전 요청;Call ally to War;Demander 쬦un alli쬦d'entrer en guerre;B쬦dnispartner zu den Waffen rufen;;Llamar a la guerra a un aliado;;;;;;;;;x;;;;;;;;;;;;;;;;
CALLALLY_BUTTON;참전 요청;Call Ally;Appel 쬦un alli쬦Waffenhilfe einfordern;;Llamar aliado;;;;;;;;;x;;;;;;;;;;;;;;;;
CALLALLY_DESC;$VERSUS$과(와)의 갈등 상황에 대해서 동맹국에 참전을 요청합니다.\n;Call on our partner to aid us in our conflicts.\n$VERSUS$;Faisons appel 쬦notre alli쬦pour qu'il nous aide dans nos conflits.\n$VERSUS$;Ruft unseren B쬦dnispartner zur Hilfe in unseren Konflikten.\n$VERSUS$;;Avisa a nuestro socio para que nos ayude en nuestros conflictos.\n$VERSUS$;;;;;;;;;x;;;;;;;;;;;;;;;;
CALLALLY_DI;참전 요청;Call Ally;Appel 쬦un alli쬦B쬦dnisparter zu Hilfe rufen;;Conseguir aliado;;;;;;;;x;;;;;;;;;;;;;;;;;
CALLALLY_OFFER;우리나라의 충실한 동맹인 $ACTOR$이(가) $LIST$에 대해 참전을 요청합니다.;The nation of $ACTOR$, your faithful ally, is requesting that you come to their aid in the $LIST$.;La nation de $ACTOR$, votre fid쬦e alli쬦 demande 쬦ce que vous lui veniez en aide dans le conflit $LIST$.;Die Nation von $ACTOR$, Ihrem treuen Verb쬦deten, fordert Sie auf, ihnen im $LIST$ zu Hilfe zu kommen.;;La naci쬦 de $ACTOR$, vuestro fiel aliado, solicita que acud쬦s en su ayuda en $LIST$.;;;;;;;;;x;;;;;;;;;;;;;;;;
CALLALLY_OTHER_ACCEPT_1;쬨$RECIPIENT$쬦;쬨$RECIPIENT$쬦 ;쬨$RECIPIENT$쬦;;쬨$RECIPIENT$쬦;;;;;;;;;x;;;;;;;;;;;;;;;;
CALLALLY_OTHER_ACCEPT_2;$MONARCHTITLE$, 쬨$RECIPIENT$이(가);$MONARCHTITLE$, 쬨$RECIPIENT$쬦 have honored their;$MONARCHTITLE$, 쬨$RECIPIENT$쬦 a honor쬦son;$MONARCHTITLE$, 쬨$RECIPIENT$쬦 haben ihr;;$MONARCHTITLE$, 쬨$RECIPIENT$쬦 ha honrado su;;;;;;;;;x;;;;;;;;;;;;;;;;
CALLALLY_OTHER_ACCEPT_3;군사동맹인 쬨$ACTOR$쬦의;Military Alliance with;alliance militaire avec;Milit쬦b쬦dnis mit;;alianza militar con;;;;;;;;;x;;;;;;;;;;;;;;;;
CALLALLY_OTHER_ACCEPT_4;참전 요청을;쬨$ACTOR$쬦;쬨$ACTOR$쬦.;쬨$ACTOR$쬦 geehrt.;;쬨$ACTOR$쬦;;;;;;;;;x;;;;;;;;;;;;;;;;
CALLALLY_OTHER_ACCEPT_5;받아들여;They are now part of the;Ils participent d쬦ormais au conflit;Sie k쬦pfen nun im;;Ahora forma parte de la;;;;;;;;;x;;;;;;;;;;;;;;;;
CALLALLY_OTHER_ACCEPT_6;'$VERSUS$'에 참전했습니다.;$VERSUS$;$VERSUS$;$VERSUS$;;$VERSUS$;;;;;;;;;x;;;;;;;;;;;;;;;;
CALLALLY_OTHER_ACCEPT_BTN1;확인;OK;D'accord;OK;OK;;OK;;;;;;;;;x;;;;;;;;;;;;;;;
CALLALLY_OTHER_ACCEPT_BTN2;확인;OK;D'accord;OK;OK;;OK;;;;;;;;;x;;;;;;;;;;;;;;;
CALLALLY_OTHER_ACCEPT_BTN3;참조;Go to;Voir;Gehe zu;;Ir a;;;;;;;;;x;;;;;;;;;;;;;;;;
CALLALLY_OTHER_ACCEPT_HEADER;외무부 장관 보고서;The Foreign Minister reports;Le ministre des Affaires 쬦rang쬦es indique :;Der Au쬦nminister berichtet:;;El Ministro de Asuntos Exteriores informa;;;;;;;;;x;;;;;;;;;;;;;;;;
CALLALLY_OTHER_ACCEPT_LOG;$RECIPIENT$이(가) $ACTOR$의 참전 요청을 수락했습니다.;$RECIPIENT$ agreed to aid $ACTOR$ in their war.;$RECIPIENT$ a accept쬦d'aider $ACTOR$ dans sa guerre.;$RECIPIENT$ stimmte zu, $ACTOR$ im Krieg zu helfen.;;$RECIPIENT$ ha accedido a ayudar a $ACTOR$ en la guerra.;;;;;;;;;x;;;;;;;;;;;;;;;;
CALLALLY_OTHER_ACCEPT_SETUP;한 국가가 다른 국가의 참전 요청을 수락했을 때;When a nation accepts another nation's call to arms;Si une nation accepte l'appel aux armes d'une autre;Wenn eine Nation den Ruf zu den Waffen einer anderen Nation akzeptiert.;;Cuando una naci쬦 acepta la llamada a las armas de otra naci쬦;;;;;;;;;x;;;;;;;;;;;;;;;;
CALLALLY_OTHER_DECLINE_1;쬨$RECIPIENT$쬦;쬨$RECIPIENT$쬦 ;쬨$RECIPIENT$쬦;쬨$RECIPIENT$쬦;쬨$RECIPIENT$쬦;쬨$RECIPIENT$쬦;쬨$RECIPIENT$쬦;쬨$RECIPIENT$쬦;;;;;;x;;;;;;;;;;;;;;;;
CALLALLY_OTHER_DECLINE_2;$MONARCHTITLE$, 쬨$RECIPIENT$이(가);$MONARCHTITLE$, 쬨$RECIPIENT$쬦 have dishonoured their;$MONARCHTITLE$, 쬨$RECIPIENT$쬦 a d쬦honor쬦son;쬨$RECIPIENT$쬦 missachtete sein ;쬨$RECIPIENT$쬦 nie honoruj쬦;$MONARCHTITLE$, 쬨$RECIPIENT$쬦 han incumplido su;$MONARCHTITLE$, 쬨$RECIPIENT$쬦 non ha rispettato la sua;쬨$RECIPIENT$쬦 visszautas쬦otta a ;$MONARCHTITLE$, 쬨$RECIPIENT$쬦 nedodr엁l sv쬦;;;;;x;;;;;;;;;;;;;;;;
CALLALLY_OTHER_DECLINE_3;군사동맹인 쬨$ACTOR$쬦의;MILITARY ALLIANCE;ALLIANCE MILITAIRE;Milit쬦b쬦dnis;SOJUSZU WOJSKOWEGO;ALIANZA MILITAR;ALLEANZA MILITARE;KATONAI SZ쬦ETS쬦ET;VOJENSK쬦Z햂AZKY;;;;;;x;;;;;;;;;;;;;;;;
CALLALLY_OTHER_DECLINE_4;참전 요청을;with;avec;mit;z;con;con:;a k쬦etkez쬦el szemben;v陷i;;;;;;x;;;;;;;;;;;;;;;;
CALLALLY_OTHER_DECLINE_5;거절했습니다!;쬨$ACTOR$쬦;쬨$ACTOR$쬦.;쬨$ACTOR$쬦;쬨$ACTOR$쬦.;쬨$ACTOR$쬦;쬨$ACTOR$쬦.;쬨$ACTOR$쬦;쬨$ACTOR$쬦;;;;;;x;;;;;;;;;;;;;;;;
CALLALLY_OTHER_DECLINE_6;그들이 분열할수록 우리는 힘을 얻습니다.;Fools!, The more divided they are the quicker they fall to our might.;Les imb쬦iles ! Plus ils seront divis쬦, plus vite ils seront 쬦notre merci.;Diese Narren, je mehr sie sich streiten, desto schneller werden sie uns anheim fallen!;G퀅pcy. Im bardziej b쬦쬦podzieleni, tym szybciej ich podbijemy.;좮nsensatos! Cuanto m쬦 divididos est쬦, m쬦 r쬦ido caer쬦 bajo nuestro poder.;Stolti, pi쬦sono divisi tra loro, pi쬦in fretta cadranno ai nostri piedi.;Bolondok, min쬦 megosztottabbak, ann쬦 k쬦nyebben v쬦z쬦k vel쬦.;Bl쬦ni, 妖m v쬦 spor쬦budou m쬦, t쬦 d曝v je poko曝me.;;;;;;x;;;;;;;;;;;;;;;;
CALLALLY_OTHER_DECLINE_BTN1;쬨$RECIPIENT$쬦이(가) 쬨$ACTOR$쬦의 $TARGETLIST$에 대한 참전 요청을 거부했습니다.;쬨$RECIPIENT$쬦 refused to join 쬨$ACTOR$쬦s war against $TARGETLIST$.;쬨$RECIPIENT$쬦 a refus쬦de se joindre 쬦la guerre que 쬨$ACTOR$쬦 m쬦e contre $TARGETLIST$.;쬨$RECIPIENT$쬦 weigerte sich, 쬨$ACTOR$쬦s im Krieg gegen $TARGETLIST$ zu unterst쬦zen.;Pa쬦two 쬨$RECIPIENT$쬦 odmawia 쬨$ACTOR$쬦 i nie zamierza wypowiada쬦wojny $TARGETLIST$.;쬨$RECIPIENT$쬦 rechazaron unirse a 쬨$ACTOR$쬦s en la guerra contra $TARGETLIST$.;쬨$RECIPIENT$쬦 non si 쬦unito a: 쬨$ACTOR$쬦 nella guerra contro: $TARGETLIST$.;쬨$RECIPIENT$쬦 elutas쬦otta a/az 쬨$ACTOR$쬦 val쬦sz쬦ets쬦et a k쬦etkez쬦ellen: $TARGETLIST$.;쬨$RECIPIENT$쬦 se odm쬦l p쬦pojit k 쬨$ACTOR$쬦 ve v쬦ce proti $TARGETLIST$.;;;;;;x;;;;;;;;;;;;;;;;
CALLALLY_OTHER_DECLINE_BTN2;확인;OK;D'accord;OK;OK;OK;Aceptar;OK;Rendben;OK;;;;;;x;;;;;;;;;;;;;;;
CALLALLY_OTHER_DECLINE_BTN3;참조;Go to;Voir;Goto;Id쬦do;Ir all쬦Andare;Menj ide;P쬦j쬦 na;;;;;;x;;;;;;;;;;;;;;;;
CALLALLY_OTHER_DECLINE_HEADER;외무부 장관 보고서;The Foreign Minister reports;Le ministre des Affaires 쬦rang쬦es indique :;Der Au쬦nminister berichtet:;;El ministro de exteriores informa;;;;;;;;;x;;;;;;;;;;;;;;;;
CALLALLY_OTHER_DECLINE_LOG;$RECIPIENT$이(가) $ACTOR$의 참전 요청을 거부했습니다.;$RECIPIENT$ declined to aid $ACTOR$ in their war.;$RECIPIENT$ a refus쬦d'aider $ACTOR$ dans sa guerre.;$RECIPIENT$ lehnte es ab, $ACTOR$ im Krieg zu Hilfe zu kommen.;;$RECIPIENT$ se ha negado a ayudar a $ACTOR$ en la guerra.;;;;;;;;;x;;;;;;;;;;;;;;;;
CALLALLY_OTHER_DECLINE_SETUP;한 국가가 다른 국가의 참전 요청을 거부했을 때;When a nation declines another nation's call to arms;Si une nation d쬦line l'appel aux armes d'une autre;Wenn eine Nation den Ruf zu den Waffen einer anderen Nation ablehnt.;;Cuando una naci쬦 rechaza la llamada a las armas de otra naci쬦;;;;;;;;;x;;;;;;;;;;;;;;;;
CALLALLY_THEY_ACCEPT_1;쬨$RECIPIENT$쬦;쬨$RECIPIENT$쬦 ;쬨$RECIPIENT$쬦;;쬨$RECIPIENT$쬦;;;;;;;;;x;;;;;;;;;;;;;;;;
CALLALLY_THEY_ACCEPT_2;$MONARCHTITLE$, 당연하게도 들리시겠지만;$MONARCHTITLE$, we are not surprised to learn that;$MONARCHTITLE$, nous ne sommes pas surpris d'apprendre que;$MONARCHTITLE$, es 쬦errascht uns nicht, dass;;$MONARCHTITLE$, no nos sorprende saber que;;;;;;;;;x;;;;;;;;;;;;;;;;
CALLALLY_THEY_ACCEPT_3;쬨$RECIPIENT$쬦이(가);쬨$RECIPIENT$쬦;쬨$RECIPIENT$쬦 ;쬨$RECIPIENT$쬦;;쬨$RECIPIENT$쬦;;;;;;;;;x;;;;;;;;;;;;;;;;
CALLALLY_THEY_ACCEPT_4;참전 요청을 받아들여;has honored our Military Alliance and joined our invincible armies in the;a honor쬦notre alliance militaire et rejoint nos invincibles arm쬦s lors de;unser Milit쬦b쬦dnis geehrt hat. Sie verst쬦kten unsere unverwundbaren Armeen im;;ha hecho honor a nuestra alianza militar y se ha unido a nuestros invencibles ej쬦citos en la;;;;;;;;;x;;;;;;;;;;;;;;;;
CALLALLY_THEY_ACCEPT_5;'$VERSUS$'에 참전했습니다.;$VERSUS$;$VERSUS$;$VERSUS$;;$VERSUS$;;;;;;;;;x;;;;;;;;;;;;;;;;
CALLALLY_THEY_ACCEPT_6;*;*;*;;*;;;;;;;;;x;;;;;;;;;;;;;;;;
CALLALLY_THEY_ACCEPT_BTN1;좋아!;Great!;Formidable !;Gro쬦rtig!;;좲agn쬦ico!;;;;;;;;;x;;;;;;;;;;;;;;;;
CALLALLY_THEY_ACCEPT_BTN2;좋아!;Great!;Formidable !;Gro쬦rtig!;;좲agn쬦ico!;;;;;;;;;x;;;;;;;;;;;;;;;;
CALLALLY_THEY_ACCEPT_BTN3;참조;Go to;Voir;Gehe zu;;Ir a;;;;;;;;;x;;;;;;;;;;;;;;;;
CALLALLY_THEY_ACCEPT_HEADER;외무부 장관 보고서;The Foreign Minister reports;Le ministre des Affaires 쬦rang쬦es indique :;Der Au쬦nminister berichtet:;;El ministro de Asuntos Exteriores informa;;;;;;;;;x;;;;;;;;;;;;;;;;
CALLALLY_THEY_ACCEPT_LOG;$RECIPIENT$이(가) 우리나라의 참전 요청을 수락했습니다.;$RECIPIENT$ has come to aid us in our war.;$RECIPIENT$ nous est venu en aide dans notre guerre.;$RECIPIENT$ kam uns in unserem Krieg zu Hilfe.;;$RECIPIENT$ ha acudido a ayudarnos en nuestra guerra.;;;;;;;;;x;;;;;;;;;;;;;;;;
CALLALLY_THEY_ACCEPT_SETUP;한 국가가 우리나라의 참전 요청을 수락했을 때;When a nation accepts our call to arms;Si une nation accepte notre appel aux armes;Wenn eine Nation unseren Ruf zu den Waffen akzeptiert.;;Cuando una naci쬦 acepta nuestra llamada a las armas;;;;;;;;;x;;;;;;;;;;;;;;;;
CALLALLY_THEY_DECLINE_1;쬨$RECIPIENT$쬦;쬨$RECIPIENT$쬦 ;쬨$RECIPIENT$쬦;쬨$RECIPIENT$쬦;쬨$RECIPIENT$쬦;쬨$RECIPIENT$쬦;쬨$RECIPIENT$쬦;쬨$RECIPIENT$쬦;;;;;;x;;;;;;;;;;;;;;;;
CALLALLY_THEY_DECLINE_2;$MONARCHTITLE$,;$MONARCHTITLE$;$MONARCHTITLE$,;*;*;$MONARCHTITLE$,;$MONARCHTITLE$;Vez쬦em,;$MONARCHTITLE$;;;;;;x;;;;;;;;;;;;;;;;
CALLALLY_THEY_DECLINE_3;배은망덕하게도 쬨$RECIPIENT$쬦이(가);The traitorous 쬨$RECIPIENT$쬦;Ces tra쬦res de 쬨$RECIPIENT$쬦;Die verr쬦erischen 쬨$RECIPIENT$쬦;Zdrajcy z 쬨$RECIPIENT$쬦;쬨$RECIPIENT$쬦;쬨$RECIPIENT$쬦 ci ha tradito:;Az 쬦ul쬦쬨$RECIPIENT$쬦;Zr쬦n쬦쬨$RECIPIENT$쬦;;;;;;x;;;;;;;;;;;;;;;;
CALLALLY_THEY_DECLINE_4;참전 요청을 거부했습니다.;have refused join us in our just and noble war.;ont refus쬦de se joindre 쬦notre noble et juste guerre.;haben sich geweigert, unserer gerechten und noblen Sache Unterst쬦zung zu erweisen.;odm쬦ili przy낱czenia si쬦do naszej s퀅sznej i sprawiedliwej wojny.;ha rechazado unirse a nosotros en nuestra guerra noble y justa.;ha rifiutato di schierarsi con noi nella nostra guerra nobile e giusta.;elutas쬦otta a mi jogos 쬦 nemes harcunkhoz val쬦csatlakoz쬦t.;se odm쬦li p쬦pojit k na쉋mu v쬦e쬦쬦u ta엁n쬦;;;;;;x;;;;;;;;;;;;;;;;
CALLALLY_THEY_DECLINE_5;정말 잊기 힘든 불명예스러운 사건입니다.;We will deal with this stab in the back later.;Nous nous occuperons de cette trahison plus tard.;Wir werden uns sp쬦er noch um diesen niedertr쬦htigen Verrat k쬦mern.;;Nos ocuparemos de esta pu쬦lada por la espalda despu쬦.;;;;;;;;;x;;;;;;;;;;;;;;;;
CALLALLY_THEY_DECLINE_6;곧 이 결정을 후회할 겁니다.;This is exactly the kind of dishonourable behaviour we shall take a long time to forget.;C'est une attitude que nous ne sommes pas pr쬦 d'oublier.;Dies ist genau die Art unehrenhaften Gebarens, an die wir uns noch lange Zeit erinnern werden.;Tego niegodnego post쬦ku jeszcze d퀅go nie b쬦ziemy w stanie zapomnie쬦;Este es exactamente el tipo de comportamiento deshonroso que tardaremos mucho tiempo en olvidar.;Questo 쬦un esempio di comportamento spregevole che non si dimentica tanto facilmente.;Ez egy olyan fajta tiszteletlen viselked쬦, amit nem fogunk egyhamar elfeledni.;To je p쬦sn쬦ten druh chov쬦쬦 na kter쬦se jen tak nezapom쬦쬦;;;;;;x;;;;;;;;;;;;;;;;
CALLALLY_THEY_DECLINE_BTN1;확인;OK;D'accord;OK;OK;OK;Aceptar;OK;Rendben;OK;;;;;;x;;;;;;;;;;;;;;;
CALLALLY_THEY_DECLINE_BTN2;확인;OK;D'accord;OK;OK;OK;Aceptar;OK;Rendben;OK;;;;;;x;;;;;;;;;;;;;;;
CALLALLY_THEY_DECLINE_BTN3;참조;Go to;Voir;Goto;Id쬦do;Ir all쬦Andare;Ugr쬦;P쬦j쬦 na;;;;;;x;;;;;;;;;;;;;;;;
CALLALLY_THEY_DECLINE_HEADER;외무부 장관 보고서;The Foreign Minister reports;Le ministre des Affaires 쬦rang쬦es indique :;Der Au쬦nminister berichtet:;;El ministro de exteriores informa;;;;;;;;;x;;;;;;;;;;;;;;;;
CALLALLY_THEY_DECLINE_LOG;$RECIPIENT$이(가) 우리나라의 참전 요청을 거부했습니다.;$RECIPIENT$ declined to aid us in our war.;$RECIPIENT$ a refus쬦de nous aider dans notre guerre.;$RECIPIENT$ lehnte es ab, uns in unserem Krieg zu Hilfe zu kommen.;;$RECIPIENT$ se ha negado a ayudarnos en nuestra guerra.;;;;;;;;;x;;;;;;;;;;;;;;;;
CALLALLY_THEY_DECLINE_SETUP;한 국가가 우리나라의 참전 요청을 거부했을 때;When a nation declines our call to arms;Si une nation refuse notre appel aux armes;Wenn eine Nation unseren Ruf zu den Waffen ablehnt.;;Cuando una naci쬦 rechaza nuestra llamada a las armas;;;;;;;;;x;;;;;;;;;;;;;;;;
CALLALLY_WE_ACCEPT_1;명예로운 군사동맹;Military Alliance Honored;Alliance militaire honor쬦;Milit쬦b쬦dnis geehrt;;Alianza militar honrada;;;;;;;;;x;;;;;;;;;;;;;;;;
CALLALLY_WE_ACCEPT_2;$MONARCHTITLE$, 쬨$ACTOR$쬦의;$MONARCHTITLE$, we have decided that;$MONARCHTITLE$, nous avons d쬦id쬦que;$MONARCHTITLE$, unserer Entscheidung nach ist;;$MONARCHTITLE$, hemos decidido que;;;;;;;;;x;;;;;;;;;;;;;;;;
CALLALLY_WE_ACCEPT_3;참전 요청을 받아들여 '$VERSUS$'에 참전했습니다.;쬨$ACTOR$쬦;쬨$ACTOR$쬦;쬨$ACTOR$쬦;;쬨$ACTOR$쬦;;;;;;;;;x;;;;;;;;;;;;;;;;
CALLALLY_WE_ACCEPT_4;그들은 우리의 지원을;is only just worthy of our support in the;쬦ait digne de notre soutien dans le conflit;unser Unterst쬦zung gerade noch w쬦dig. Wir helfen ihnen im;;merece nuestro apoyo en la;;;;;;;;;x;;;;;;;;;;;;;;;;
CALLALLY_WE_ACCEPT_5;받을 자격이 있습니다.;$VERSUS$;$VERSUS$;$VERSUS$;;$VERSUS$;;;;;;;;;x;;;;;;;;;;;;;;;;
CALLALLY_WE_ACCEPT_6;*;*;*;;*;;;;;;;;;x;;;;;;;;;;;;;;;;
CALLALLY_WE_ACCEPT_BTN1;확인;OK;D'accord;OK;OK;;OK;;;;;;;;;x;;;;;;;;;;;;;;;
CALLALLY_WE_ACCEPT_BTN2;확인;OK;D'accord;OK;OK;;OK;;;;;;;;;x;;;;;;;;;;;;;;;
CALLALLY_WE_ACCEPT_BTN3;참조;Go to;Voir;Gehe zu;;Ir a;;;;;;;;;x;;;;;;;;;;;;;;;;
CALLALLY_WE_ACCEPT_HEADER;외무부 장관 보고서;The Foreign Minister reports;Le ministre des Affaires 쬦rang쬦es indique :;Der Au쬦nminister berichtet:;;El Ministro de Asuntos Exteriores informa;;;;;;;;;x;;;;;;;;;;;;;;;;
CALLALLY_WE_ACCEPT_LOG;우리나라가 $ACTOR$의 참전 요청을 수락했습니다.;We've agreed to aid $ACTOR$ in their war.;Nous avons accept쬦d'aider $ACTOR$ dans sa guerre.;Wir stimmten zu, $ACTOR$ im Krieg zu helfen.;;Hemos accedido a ayudar a $ACTOR$ en la guerra.;;;;;;;;;x;;;;;;;;;;;;;;;;
CALLALLY_WE_ACCEPT_SETUP;우리나라가 다른 국가의 참전 요청을 수락했을 때;When we accept a nation's call to arms;Si nous acceptons l'appel aux armes d'une nation;Wenn wir den Ruf zu den Waffen einer Nation akzeptieren.;;Cuando aceptamos la llamada a las armas de una naci쬦;;;;;;;;;x;;;;;;;;;;;;;;;;
CALLALLY_WE_DECLINE_1;불명예스러운 군사동맹;Military Alliance Dishonoured.;Alliance militaire d쬦honor쬦.;Milit쬦b쬦dnis missachtet.;Nie honorujemy sojuszu wojskowego.;Alianza militar incumplida;Alleanza militare non rispettata.;Katonai sz쬦ets쬦 elutas쬦va.;Vojensk쬦aliance nespln쬦a.;;;;;;x;;;;;;;;;;;;;;;;
CALLALLY_WE_DECLINE_2;$MONARCHTITLE$, 쬨$ACTOR$쬦의;$MONARCHTITLE$, we have decided that the war declared by;$MONARCHTITLE$, nous estimons que la guerre d쬦lar쬦 par;Unserem Beschluss zufolge ist der Krieg, begonnen von;Doszli쐌y do wniosku, 풽 wojna wypowiedziana przez;$MONARCHTITLE$, hemos decidido que la guerra declarada por;$MONARCHTITLE$, abbiamo deciso che la guerra dichiarata da:;쬦y d쬦t쬦t쬦k, hogy a/az;$MONARCHTITLE$, rozhodli jsme se, 엁 v쬦ka vyhl쬦en쬦;;;;;x;;;;;;;;;;;;;;;;
CALLALLY_WE_DECLINE_3;참전 요청을 거부했습니다.;쬨$ACTOR$쬦;쬨$ACTOR$쬦;쬨$ACTOR$쬦;쬨$ACTOR$쬦;쬨$ACTOR$쬦;쬨$ACTOR$쬦;쬨$ACTOR$쬦;쬨$ACTOR$쬦;;;;;;x;;;;;;;;;;;;;;;;
CALLALLY_WE_DECLINE_4;그들이 치루고 있는 전쟁은 우리의 관심사가 아닙니다.;is not really in our interest at this time;est contraire 쬦nos int쬦쬦s actuels.;diesmal wirklich nicht in unserem Interesse.;nie jest w naszym interesie.;no est쬦realmente en nuestro inter쬦 en este momento;non era affar nostro, in questo momento.;nemzete ellen ir쬦yul쬦h쬦or쬦most minket nem nagyon 쬦dekel.;nen쬦ve skute쬦osti v na쉋m z쬦mu;;;;;;x;;;;;;;;;;;;;;;;
CALLALLY_WE_DECLINE_5;*;*;*;*;*;*;*;;;;;;;x;;;;;;;;;;;;;;;;
CALLALLY_WE_DECLINE_6;그들이 혼자 전쟁을 치루게 된 것에 대해 매우 기쁘게 생각합니다.;We have taken great delight in telling them that they are on their own for this war.;Ce fut un grand plaisir de leur signifier qu'il ne fallait pas compter sur nous pour cette guerre.;Wir haben ihnen mit gro쬦r Freude mitgeteilt, dass sie bei diesem Krieg auf sich selbst gestellt sind.;Z rozkosz쬦poinformowali쐌y ich, 풽 w tej wojnie musz쬦radzi쬦sobie sami.;Hemos disfrutado enormemente dici쬦doles que est쬦 solos en esta guerra.;Con grande piacere li abbiamo quindi informati che dovranno vedersela da soli.;Nagyon felvillanyozott minket, amikor elmondhattuk nekik, hogy saj쬦 maguk v쬦j쬦 meg ezt a h쬦or쬦.;S pot쬦en쬦 jsme jim sd쬦ili, 엁 jsou v tom sami.;;;;;;x;;;;;;;;;;;;;;;;
CALLALLY_WE_DECLINE_BTN1;확인;OK;D'accord;OK;OK;OK;Aceptar;OK;Rendben;OK;;;;;;x;;;;;;;;;;;;;;;
