NORMAL_WAR_NAME_FASCISM;$ORDER$$FIRST_COUNTRY$-$SECOND_COUNTRY$ 검정셔츠 혁명;The $ORDER$$FIRST$-$SECOND$ Blackshirt Revolution;;;;;;;;;;;;;;;;;;x,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AGRESSION_WAR_NAME_FASCISM;$ORDER$$FIRST_COUNTRY$-$SECOND_COUNTRY$ 검정셔츠 혁명;The $ORDER$$FIRST$-$SECOND$ Blackshirt Revolution;;;;;;;;;;;;;;;;;;x,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NORMAL_WAR_NAME_COMMUNISM;$ORDER$$FIRST_COUNTRY$-$SECOND_COUNTRY$ 혁명전쟁;The $ORDER$$FIRST$-$SECOND$ Revolutionary War;;;;;;;;;;;;;;;;;;x,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AGRESSION_WAR_NAME_COMMUNISM;$ORDER$$FIRST_COUNTRY$-$SECOND_COUNTRY$ 혁명전쟁;The $ORDER$$FIRST$-$SECOND$ Revolutionary War;;;;;;;;;;;;;;;;;;x,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NORMAL_WAR_NAME_DEMOCRACY;$ORDER$$FIRST_COUNTRY$-$SECOND_COUNTRY$ 혁명정권 타도전쟁;$ORDER$$FIRST$-$SECOND$ Counterrevolution;;;;;;;;;;;;;;;;;;x,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AGRESSION_WAR_NAME_DEMOCRACY;$ORDER$$FIRST_COUNTRY$-$SECOND_COUNTRY$ 혁명정권 타도전쟁;$ORDER$$FIRST$-$SECOND$ Counterrevolution;;;;;;;;;;;;;;;;;;x,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
aristocrats;지주;Landowners;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
appointed_desc;지주와 자본가에게만 상원의 의석을 배분합니다.;Landowners or capitalists have been assigned seats in the Upper House by the leader of the country.;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
landed_voting_desc;지주와 자본가에게만 투표권을 부여합니다.;Only Landowners and Capitalists may vote.;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
promote_aristocrats;지주 육성;Encourage Landowners ;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ELECTIONSTART_1;$COUNTRY$의 선거가 시작되었습니다.;The Elections of $COUNTRY$ are starting;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
sepoy_rebellion;세포이 봉기;Sepoy Rebellion;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IS_SUBSTATE_OF; 속국:;Is a substate;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IS_NOT_SUBSTATE_OF;속국 아님;Is NOT a substate;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
public_illumination;공공 조명;Public Illumination;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IS_NOT_IN_A_SPHERE; 영향권 밖;Not in a sphere of influence.;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HOLD_ELECTION_BUTTON;건거 실시;Hold Election;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HOLD_ELECTION;선거 실시\n;Hold Election\n;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NATIONALIZE_INDUSTRY_EFFECT; 국유화를 수행합니다.\n;Perform Nationalization\n;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2nd_caucasian_war;제2차 카프카스 전쟁;Second Caucasian War;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RELEASE;§Y$WHO$§W을(를) 독립국으로 해방합니다.\n;Release §Y$WHO$§W as an independent state.\n;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
modern_central_bank_system_invented;현대적 중앙은행체계를 발명했습니다.;Modern Central Banking System Invented;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PEACE_WE_ACCEPT_2;$ACTOR$의 평화 제안을;We have accepted a peace offer from;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
administrative_efficiency_modifier;행정 효율;Administrative Efficiency;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MODIFIER_ADMINISTRATIVE_EFFICIENCY;행정 효율;Administrative Efficiency;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
in_great_war; 세계대전 중;In Great War;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fascist_rebels_title;파쇼 반군;Fascist;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fascist_rebels_name;$COUNTRY$ 파쇼;$COUNTRY$ Fascists;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fascist_rebels_desc;흑위대 준군사조직은 파쇼주의라는 급진적인 새로운 이념 아래 움직이는 혁명가들입니다. 폭력과 집단행동의 신조에 따라 행동하는 이들은 어떻게 해서든 낡은 군주제 국가들과 신생 민주주의 국가들을 모두 파쇼들의 전제국가로 대체하려 합니다.;The Black Guard paramilitary organizations are revolutionaries driven by the radical new ideology of fascism. Labouring under the dogmas of violence and mass action, these battle trained revolutionaries will stop at nothing to overthrow old monarchies and young democracies alike, and replace them all with the absolutes of the Leviathan fascist state.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fascist_rebels_army;$COUNTRY$ 의용군;$COUNTRY_ADJ$ Paramilitary;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dagestani;다게스탄;Dagestani;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
circassian;체르케시야;Circassian;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
chechen;체첸;Chechen;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
north_caucasian;카프카스계 소수문화;Caucasian Minor;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
caucasian;카프카스;Caucasian;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
botanical_expedition_threatened;식물 탐험 위협;Botanical Expedition Threatened;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
participates_in_botanical_expedition;식물 탐험 참여;Participates in Botanical Expedition;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ANY_POP_IN_PROVINCE_STARTS; 전체 주민;Any Pop;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IS_RELIGION; 국교:;The state religion is;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
house_of_rashid_exiled;라시드 가문;House of Rashid Exiled;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
house_of_saud_returned;사우드 가문;House of Saud Returned;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
house_of_saud_exiled;사우드 가문 추방;House of Saud Exiled;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
early_electrical_telegraph;초기 전신;Early Electrical Telegraph;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
early_electrical_telegraph_desc;첫 상업용 전신은 윌리엄 포더길 쿡 경과 찰스 휘스톤이 공동 개발한 것입니다. 이것은 5개의 바늘과 6개의 전선으로 이루어져 있었습니다. 전선은 원래 강철 전선관 안에 포함되어 지하에 설치되었습니다. 그러나 절연 처리가 약해지면서 곧 고장이 났고, 곧 절연되지 않는 선으로 교체되었습니다. 임시방편으로 2개의 바늘체계가 나머지 3개의 지하 전선들과 함께 쓰였습니다. 당시 지하 전선들은 두개의 바늘에 비해 더 많은 수의 부호를 가지고 있었습니다.;The first commercial electrical telegraph was co-developed by Sir William Fothergill Cooke and Charles Wheatstone. This was a five-needle, six-wire system. The cables were originally installed underground in a steel conduit. However, the cables soon began to fail as a result of deteriorating insulation and were replaced with uninsulated wires on poles. As an interim measure, a two-needle system was used with three of the remaining working underground wires, which despite using only two needles had a greater number of codes.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
telegraph;전신;Telegraph;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
REMOVE_MONEY_EFFECT;돈: - §R$VALUE$¤§W합니다.\n;Lose §R$VALUE$¤§W.\n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MONEY_EFFECT;돈: + §R$VALUE$¤§W합니다.\n;Funds §R$VALUE$§W¤§W.\n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
theocracy_ruler;신관 성하;Your Holiness;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
proletarian_dictatorship_ruler;서기장 동지;Chairman;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
presidential_dictatorship_ruler;대통령 각하;President;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
bourgeois_dictatorship_ruler;의장 각하;Board Director;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fascist_dictatorship_ruler;총통 각하;Supreme Leader;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
absolute_monarchy_ruler;대군주 폐하;King;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
prussian_constitutionalism_ruler;대군주 폐하;King;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
hms_government_ruler;대군주 폐하;King;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
democracy_ruler;대통령 각하;President;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
islamic_fundamentalists_title;이슬람 근본주의자;Islamic Fundamentalists;;;;;;;;;;;;x,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
islamic_fundamentalists_name;이슬람 근본주의자;Islamic Fundamentalists;;;;;;;;;;;;x,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
islamic_fundamentalists_desc;이슬람 근본주의자들은 이슬람교가 쿠란, 하디스, 순나에 근거하며 "전통, 논평, 인기 있는 종교 관습들, (종교, 성인의 숭배), 탈선, 미신을 비판한다"고 믿습니다. 그들은 초심으로 돌아가 퇴폐적인 외세를 떨쳐버리고 정부를 전복해 근본주의 국가를 건설하는 것을 목표로 합니다.;"Islamic fundamentalists believe that Islam is based on the Qur'an, Hadith and Sunnah and ""criticize the tradition, the commentaries, popular religious practices (maraboutism, the cult of saints), deviations, and superstitions"". They aim to return to the founding texts, shake off the foreign decadence and to overthrow the government and establish a fundamentalist state.";;;;;;;;;;;;;;;;x,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
islamic_fundamentalists_army;이슬람 근본주의자;Islamic Fundamentalists;;;;;;;;;;;;x,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
theocracy;신정제;Theocracy;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
artillery_production_desc;19세기의 산업혁명은 사실상 인간의 노력의 모든 분야에 영향을 미쳤는데, 포 생산도 예외는 아니었습니다. 이전에는 청동포 주조에 오랜 시간이 걸렸으나, 알프레드 크루프나 히람 막심 같은 업계 거물들의 산업화를 거쳐 더욱 정밀하고 과학적으로 변할 것입니다.;The Industrial Revolution of the 19th century affected practically all areas of human endeavour, and the production of artillery was no exception. What had previously been a lengthy process of cast molding bronze cannons would -- in the hands of luminaries of the industry, such as Alfred Krupp or Hiram Maxim -- become an industrialized and exact science.;;;;;;;;;;;;;;;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
australian;오스트레일리아;Australian;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
serfdom_not_abolished;농노제 존속;Serfdom not abolished;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
theocratic_government;신정제;Theocratic Government;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
communist_gov;공산당 독재제;Communist Regime;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
absolute_monarchy_gov;전제군주제;Absolute Monarchy;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
semi_constitutional_monarchy_gov;준입헌군주제;Semi-Constitutional Monarchy;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
constitutional_monarchy_gov;입헌군주제;Constitutional Monarchy;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
democracy_gov;민주제;Democracy;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
presidential_dictatorship_gov;대통령 독재제;Presidential Dictatorship;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fascist_gov;파쇼 독재제;Fascist Regime;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
anarcho_liberal_gov;무정부자본가 체제;Anarcho-Liberal Regime;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
serfs;농노;Serfs;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TRIGGER_STATE; 주;State;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
piston_steam_engine;피스톤 중기기관;Piston Steam Engine;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
